Lat,Long,Venue_Type,Venue_Name,Created_On
43.57068667,39.73215759,shopping,"Roberto Bravo at the ""Grand Hotel Zhemchuzhina"" | Jewelry",1580125167
39.17993194,-77.26604104,atm,Bitcoin ATM,1580166364
50.1420875,14.09891903,shopping,Žaluzie a sítě do oken,1580398421
-32.90887456,-68.82547259,grocery,El Mercadito,1580694288
-32.86481869,-68.94600078,lodging,Tangram Cabañas,1580694466
-32.85392235,-68.82724285,default,El Taller de Pianos,1580694583
45.44171331,9.287272096,food,Bottega Verace,1580713619
50.16727782,19.39807892,default,"BlueSun - Zasilanie Awaryjne, Usługi Elektryczne",1580816106
41.44799402,-82.16567516,atm,Bitcoin ATM,1580396903
44.48961357,11.31511331,shopping,"Copisteria ""Il Copione""",1580825991
44.50226378,11.33241892,atm,Bitshop,1580826702
27.33634257,-82.53165185,atm,Bitcoin Center,1580829907
49.2073364,16.48464203,default,Petr Krzok,1581067101
39.12456716,-84.34716403,atm,Bitcoin ATM,1579209680
-32.89249559,-68.85440638,food,The Sixth Dagger ,1581105251
-32.88538506,-68.84145856,food,Parrilla del Mercado,1581111683
44.43997729,8.96784246,shopping,Centroinfissi EGI,1581188370
48.1893617,16.36446297,default,Psychologische Praxis | Mag. Daniel Prattinger,1581215436
35.96244609,-115.0968933,default,Drone2Address,1581348554
36.1212369,-115.2788544,default,Drone2Address,1581348578
36.25147202,-115.2088165,default,Drone2Address,1581348601
35.9904642,-115.1854599,default,Heart of Gold Child Care,1581348671
36.02628197,-115.088675,default,Colocation Vegas,1581348760
36.02688935,-115.0890827,default,702Ring,1581348797
25.75815531,-80.21289825,default,Ring305,1581348882
36.06589081,-115.2020359,default,702Ring,1581349650
35.98897976,-115.1890969,default,Drone2Address,1581348507
-34.55566396,-58.41533661,atm,BlockLabs P2P BTC to ARS,1581386980
-34.81260535,-58.53906155,atm,BlockLabs P2P BTC to ARS,1581387252
-34.66583773,-58.64275575,atm,BlockLabs P2P BTC to ARS,1581387449
-17.78885791,-63.19588846,shopping,David A. Justiniano,1581468722
10.47662911,-84.96414185,lodging,Hotel Cielo Azul Resort,1581473830
48.15399776,14.01073873,default,PT – Built By Experience,1581497974
44.3081881,15.080055,lodging,Aparmán Verne,1581530750
44.30131636,15.09296179,lodging,Apartman BARBA,1581531031
48.85487515,2.304232121,default,Nicolas Mildner,1581543077
46.05480983,14.50513422,shopping,Zlatarstvo Kodre,1581675958
37.0994522,27.30793476,shopping,DEEP PERDE,1581676634
4.829751107,-75.67335069,default,DogeLino,1581685237
20.58811681,-100.3750956,shopping,Fama Sport,1581727325
20.01645495,-75.83085537,transport,Mr. Eridanys,1581869000
20.02072353,-75.82510769,default,Fernando Lainati Mora,1581893572
-37.14828528,-56.88095212,lodging,Cabañas El Jardín,1581946699
47.16717476,8.514876366,food,Löwen Brasserie,1581948948
47.16716747,8.514989018,lodging,Hotel Löwen,1581949253
-16.68383258,-49.26763594,default,Nexus Class,1581964597
46.18043955,8.998253345,shopping,Mediasat Sagl,1581971677
50.0811192,14.42445832,default,Flower shop KvetinySandra,1581973138
44.29238189,15.11988044,lodging,Apartments Ivuša,1579051789
46.02337348,14.41772103,lodging,Hotel Pok,1582017266
46.02334368,14.4178766,food,Restavracija Kevder,1582017473
46.04844357,14.49967325,cafe,Living Room Lounge,1582017696
46.05247562,14.50503767,default,Elegance Showroom,1582018250
46.05224108,14.50844407,shopping,Saloon Concept,1582018744
46.08213918,14.50648069,default,Nova ključavnica,1582019053
46.07323063,14.50387359,default,The Coffee,1582020273
46.03609987,14.47817266,default,Biljard klub Direkt,1582031814
44.29031989,15.1202774,lodging,Apartman VLADEK,1581982211
37.8750721,-122.260379,default,Metz Construction,1581809469
46.20869414,6.131942868,atm,Le Kiosque de l'ile verte,1582136407
46.21063939,6.14566505,atm,La Miroiterie Café ,1582136599
-29.36333093,-50.81353784,atm,Bitcoin - câmbio - exchange,1582136948
33.49226937,-88.79059196,default,Redeemer Church,1582144045
-37.87265549,145.0251608,default,Healing Delight,1582268558
46.08708404,14.47852671,cafe,Fani bar,1582290849
45.59446175,10.15372753,cafe,Caffè Danesi,1582291353
46.40574408,14.15445685,cafe,"Zavrh bar, V objemu narave",1582292257
46.04797818,14.54445004,food,Sarajevska čevabdžinica Deset v pol,1582293600
46.06177465,14.57323015,cafe,Kava bar Petrol,1582293745
46.02124654,14.52299774,food,Gostilna in pizzeria KUBUS,1582294011
-5.865909275,-35.20172417,default,Leal e Lima Sociedade de Advogados,1582321495
46.05667118,14.50586915,food,Žito trgovina,1582551322
46.06510599,14.5113194,food,Žito trgovina,1582551483
46.05499225,14.50881422,food,Žito trgovina,1582551780
46.0580597,14.51148033,food,Žito trgovina,1582552020
46.05061414,14.50929165,food,Žito Kruharna,1582552926
46.05397221,14.51277852,food,Žito trgovina,1582553127
46.05516349,14.50848162,food,Žito trgovina,1582553289
46.05115026,14.50719416,food,Žito trgovina,1582553552
46.04146963,14.47512031,food,Žito trgovina,1582556263
46.07379257,14.47453022,food,Žito trgovina,1582559271
46.05772839,14.50967789,food,Žito trgovina,1582559393
46.06440251,14.54421401,food,Žito trgovina,1582559522
42.34030291,-83.1276387,grocery,Livernois-Mcgraw Market,1582563066
4.697654255,-74.03051376,lodging,Hostal Casa Andina Usaquen,1582593045
50.13466432,14.17648315,default,EDGAR GONZALEZ ASESOR,1582578076
5.084323847,-73.78861606,lodging,Hostal Casa Andina Suesca,1582595839
50.82962509,4.048043489,default,Veronove Tegels,1582722893
3.368971467,-76.51484013,shopping,ReGia Makeup ,1582771425
50.10255159,14.46798563,transport,Iva Testuje,1582797374
51.39698332,12.39884377,attraction,CCC,1582807921
41.70423867,-83.52696061,atm,Bitcoin ATM,1582568749
47.43265611,8.556981683,shopping,COIN.HOST,1582814361
4.807824043,-75.69157362,atm,BancaBIT,1582831335
-17.74582554,-63.1918627,shopping,Widen Montero,1582831372
50.41489999,30.52226186,atm,Colipay,1582847874
45.55704409,18.70507658,cafe,Campus Caffe,1582889979
4.698575566,-74.03131652,default,Crisol (Elizabeth Gómez y David Palacio),1582899763
39.92924588,-77.63810098,atm,Bitcoin ATM,1582916508
4.616673042,-74.19792652,shopping,BITCOIN-TRAXALT,1582914988
6.229235122,-75.57080984,atm,Genesis Block,1582941084
45.81036062,15.97420156,attraction,Museum of Hangovers,1582997640
33.89663713,-117.9945374,default,Tandy Consulting Inc,1583037774
49.18825641,-123.9502523,default,Ripsen Marine,1583054136
50.08048052,14.44864154,default,PHP Programming Mentoring,1583152192
41.96819905,-87.80741221,default,American Speedy Printing,1583157255
42.35202676,-3.660678864,default,pepeton,1583169950
-27.28609007,-48.89581203,food,CoguVale,1583173969
46.42374793,15.88532925,default,Tomas Sport Ptuj,1583228669
46.40301414,15.5337131,lodging,Panorama Glamping Visole,1583230263
46.1365008,14.4133383,cafe,Parkplac Drive in,1583231323
46.36098241,15.10720968,default,ILON center masaž in terapij,1583231844
46.35940161,15.10875463,default,Šola vožnje RELAX Velenje,1583232096
46.33620636,14.95862067,default,Šola vožnje RELAX Mozirje,1583232767
46.09963209,14.53668237,default,MGS PLUS,1583239507
46.06389258,14.54567313,default,"Kalček Ljubljana, BTC",1583239905
46.22524876,14.61165011,cafe,Kavarna Veronika,1583240415
46.22412054,14.61077034,food,Pizzeria Napoli,1583240587
45.94318988,13.6420691,default,AcuModerna,1583240847
45.53972177,13.66428852,default,Navtik. AL,1583241149
46.05040565,14.52680111,default,List biro oprema d.o.o.,1583242448
46.11016534,14.60952044,default,Lazy Koala,1583243214
46.02030038,14.53950405,default,Eset Online store,1583243682
39.68570666,-84.22146499,atm,Bitcoin ATM,1583276295
10.3823191,-75.47966838,food,Ay Jue’ Pollo,1583291064
55.762683,37.59230196,food,800°С Contemporary Steak | Meat restaurant,1583315944
55.75021609,37.55966485,food,Village restaurant Arkadiya Novikovа | Cheese factory at the Badayevsky plant,1583315761
55.74706704,37.53650665,cafe,FORNETTO | Cafe pizzeria,1583316153
55.66672112,37.62042224,cafe,Coffee Industry | Catering company,1583316398
37.18653586,126.6514421,cafe,Romance Yacht,1583379466
47.17262319,8.513261676,food,Kurioz Bar & Kitchen,1583417098
50.0805155,14.4492276,food,U Sadu,1578930109
46.0931109,11.1121903,default,La selleria on line,1582221225
43.7198484,10.3972951,atm,?,1580855888
32.0641293,34.7735345,atm,רובוקוין,1583428892
50.0884875,14.3961675,cafe,U zelených kamen,1578929305
46.0823409,14.5137728,atm,Bitnik 2-way bitcoin ATM,1583429046
45.5399021,13.7351245,atm,Bitnik 1-way bitcoin ATM,1583429085
41.2126346,9.3880341,lodging,Ma & Ma Grand Hotel Resort,1582986673
61.4975548,23.7771771,atm,Bittimaatti Two-Way,1583429144
33.7445484,-84.3686163,atm,Athena Bitcoin ATM,1583429145
33.7727707,-84.3785388,atm,Athena Bitcoin ATM,1583429145
43.4677367,-80.5233263,atm,Bitcoin ATM,1583429155
23.7304245,90.4120602,default,বাকাউল মানি এক্সচেঞ্জ,1583429156
47.1390768,7.2453205,default,Zahnarztpraxis Dr. Matthias Nötzel ,1582559517
44.0795252,10.0996256,default,Le profumerie Braccini,1580456875
48.204798,16.3703636,atm,?,1583429226
48.4269856,-123.3675538,atm,Bitcoin ATM,1583429232
48.4242489,-123.3631831,atm,Bitcoin ATM,1583429233
45.8836233,8.5408137,shopping,Gioielleri Paulon,1578338791
49.1827613,16.6270176,atm,?,1583429262
50.0770759,8.2370224,shopping,Meyni Textil Stickerei Schneiderei Textildruck,1582223184
45.4274276,-75.6902342,atm,?,1583429286
45.4269373,-75.6896924,atm,?,1583429287
47.2605377,11.3827153,atm,?,1583429294
47.2701621,11.3910884,atm,?,1583429295
47.2557425,11.326362,atm,?,1583429295
48.7196925,21.2611817,atm,Bitcoin ATM,1583429315
62.2434448,25.748279,atm,Bittimaatti Two-Way,1583429370
62.8643396,27.613253,atm,Bittimaatti Two-Way,1583429371
31.7670985,35.2255151,atm,כספומט ביטקוין,1583429386
43.7198492,10.3973451,cafe,Pasticceria DolcePisa,1580853413
40.5110587,-88.9819592,atm,Cryptocurrency Atm,1583429469
40.7883618,-73.9472413,atm,Bitcoin ATM,1583429470
40.0768264,-75.1595793,atm,Athena Bitcoin ATM,1583429475
33.7571288,-84.165897,atm,Athena Bitcoin ATM,1583429475
39.9530312,-75.2580463,atm,Athena Bitcoin ATM,1583429476
33.7239937,-84.4998096,atm,Athena Bitcoin ATM,1583429476
33.6817963,-84.4139692,atm,Athena Bitcoin Inc.,1583429477
38.6361712,-90.2469195,atm,Athena Bitcoin ATM,1583429477
27.9368172,-82.3690265,atm,Athena Bitcoin ATM,1583429478
25.9267495,-80.1445471,atm,Athena Bitcoin ATM,1583429478
39.9868967,-75.1563595,atm,Athena Bitcoin ATM,1583429478
27.9726134,-82.4510169,atm,Athena Bitcoin ATM,1583429478
38.5671016,-90.4947265,atm,Athena Bitcoin ATM,1583429479
33.6168738,-84.4721798,atm,Athena Bitcoin ATM,1583429480
33.8218526,-84.3669544,atm,Athena Bitcoin ATM,1583429481
40.0387799,-75.0344563,atm,Athena Bitcoin ATM,1583429483
29.7341298,-95.441206,atm,Athena Bitcoin ATM,1583429483
33.8890644,-84.4783171,atm,Athena Bitcoin ATM,1583429483
30.1793946,-95.537792,atm,Athena Bitcoin ATM,1583429484
33.8586264,-84.3419866,atm,Athena Bitcoin ATM,1583429486
27.9424967,-82.7468779,atm,Athena Bitcoin ATM,1583429487
26.0112539,-80.1455778,atm,Athena Bitcoin ATM,1583429488
39.9537032,-83.1091185,atm,Athena Bitcoin ATM,1583429489
26.1657401,-80.1577191,atm,Athena Bitcoin ATM,1583429489
39.8199515,-84.0282587,atm,Athena Bitcoin ATM,1583429489
25.7689874,-80.3694869,atm,Athena Bitcoin ATM,1583429490
25.8404726,-80.2823652,atm,Athena Bitcoin ATM,1583429490
38.5837455,-90.2661623,atm,Athena Bitcoin ATM,1583429490
28.0548704,-82.4453018,atm,Athena Bitcoin ATM,1583429491
33.9428527,-84.2715876,atm,Athena Bitcoin ATM,1583429492
25.8100172,-80.1996652,atm,Athena Bitcoin ATM,1583429493
25.5206548,-80.4784996,atm,Athena Bitcoin ATM,1583429493
33.9516226,-84.1023361,atm,Athena Bitcoin ATM,1583429495
38.6346679,-90.3450096,atm,Athena Bitcoin Inc.,1583429495
29.9539969,-95.5414147,atm,Athena Bitcoin Inc.,1583429496
32.7464069,-97.2326456,atm,Athena Bitcoin ATM,1583429497
40.8041286,-73.9377662,atm,Bitcoin ATM,1583429498
55.7302536,37.6193128,atm,?,1583429517
5.852605,95.2709064,default,Monster Divers,1583066204
37.3997448,-79.1731064,default,?,1583429543
45.4786337,-75.5147826,atm,Honey Badger Bitcoin ATM,1583429546
51.4630942,-2.5897305,atm,?,1583429561
41.79343,-87.6641824,atm,Amstar Gas Station Bitcoin ATM,1583429570
41.8828161,-87.6860768,atm,West Haven Coin Laundry Bitcoin ATM,1583429570
36.0357445,-115.171794,atm,BIG V MARKET Bitcoin ATM,1583429573
39.8079105,-86.1730548,atm,Boost Mobile Bitcoin ATM,1583429573
43.0601487,-87.9265711,atm,BP Gas Station Bitcoin ATM,1583429574
43.1198021,-88.0254172,atm,?,1583429574
39.7923018,-86.1170608,atm,Citgo Gas Station Bitcoin ATM,1583429575
39.7599625,-86.0833512,atm,Citgo Gas Station Bitcoin ATM,1583429575
41.4229781,-81.7103042,atm,Convenient Food Mart Bitcoin ATM,1583429575
42.1992327,-83.221896,atm,?,1583429575
41.78023,-87.6055732,atm,Currency Exchange Bitcoin ATM,1583429576
41.7515141,-87.6048854,atm,Currency Exchange (Cottage Grove) Bitcoin ATM,1583429576
39.7741734,-86.1287007,atm,Dairy Barn Bitcoin ATM,1583429576
40.0478206,-75.1422956,atm,Exxon North Philli Bitcoin ATM,1583429576
39.8288881,-86.2708587,atm,Gills Marathon Bitcoin ATM,1583429577
41.6999422,-87.6423445,atm,Golo Bitcoin ATM,1583429577
41.5565445,-81.5498859,atm,Green Light Beverage Liquor Store Bitcoin ATM,1583429577
41.7702985,-87.6831424,atm,King Food and Liquor Bitcoin ATM,1583429577
41.8703937,-87.8528673,atm,Marathon Express Gas Station Bitcoin ATM,1583429577
41.4566457,-81.637496,atm,Marathon Gas Station Bitcoin ATM,1583429577
39.8536353,-86.2395868,atm,Marathon Gas Station Bitcoin ATM,1583429578
29.7421775,-95.3591985,atm,Mobil Gas Bitcoin ATM,1583429579
33.9922367,-117.9152267,atm,OLE PAY Bitcoin ATM,1583429580
29.8021136,-95.4305089,atm,Speedy Mart Bitcoin ATM,1583429580
41.8665466,-87.7107547,atm,Star Gyro Bitcoin ATM,1583429581
29.7434512,-95.2968843,atm,Super Amigo Food Mart Bitcoin ATM,1583429581
41.8957836,-87.6377335,atm,The Galleria Bitcoin ATM,1583429582
40.0469784,-75.0696256,atm,Tyson Citgo Gas Station Bitcoin ATM,1583429582
41.7583088,-87.6316161,atm,Vincennes Currency Exchange Bitcoin ATM,1583429582
48.7229714,21.2675836,atm,Bitcoin ATM,1583429601
35.6601548,139.6988784,default,Sakura Currency Exchange,1583429601
33.747835,-84.3488765,atm,Athena Bitcoin Inc.,1583429618
25.8272946,-80.1923049,atm,Athena Bitcoin Inc.,1583429619
45.492358,-73.5577711,atm,?,1583429620
45.7122539,-73.5127024,atm,?,1583429621
45.5060358,-73.5618145,atm,?,1583429622
45.51415,-73.5727312,atm,?,1583429622
45.4326664,-73.8479137,atm,?,1583429623
40.1895171,44.5159277,atm,?,1583429624
37.9638095,23.7231194,atm,?,1583429626
33.6837431,-84.061908,atm,Athena Bitcoin ATM,1583429626
33.976368,-83.9446466,atm,Athena Bitcoin ATM,1583429627
33.7729039,-84.4169947,atm,Athena Bitcoin ATM,1583429628
27.9663985,-82.4145783,atm,Athena Bitcoin ATM,1583429628
33.7971686,-84.3693286,atm,Athena Bitcoin ATM,1583429629
40.4207493,-3.709961,atm,Vatcointech,1583429634
37.7847346,-122.4033544,default,?,1583429641
37.7847346,-122.4033544,default,?,1583429642
43.8253496,-79.5351246,atm,?,1583429646
43.4614754,-79.6870011,atm,?,1583429649
37.7279673,-122.4771196,default,?,1583429653
52.3800847,16.984005,atm,?,1583429653
45.532238,10.164191,atm,Walledo Kiosk,1583429655
45.86486,13.42877,atm,Walledo Kiosk,1583429655
59.4344085,24.7586328,atm,AIC ESTONIA OÜ,1583429656
41.3593986,2.1362346,default,BitBase,1583429658
53.5319863,8.1285822,default,Kiefer Networks,1582611077
48.7618023,8.2416069,atm,?,1583429678
51.8451125,5.8602912,atm,?,1583429682
51.524465,-0.080821,atm,?,1583429693
38.8100377,-77.2555552,atm,?,1583429695
48.7261977,21.2573966,atm,Bitcoin ATM,1583429698
48.6943698,21.2393133,atm,?,1583429699
-12.0683148,-77.0137461,shopping,Buzos Deportivos,1580769746
-12.0682982,-77.0137345,shopping,Camisetas de Futbol,1580769746
41.0140874,28.9677702,shopping,Rdekoavm Sanal Mağazacılık,1577900066
48.6929792,18.6001347,food,Impress,1577967633
45.282936,8.758825,default,Centro Ippico ASD Stella,1578236837
47.3392654,9.5237136,shopping,FixThis.ch,1578582421
53.5347825,-2.283318,default,North Manchester Joinery,1578769687
48.1404551,17.1203879,atm,Cryptobankomat,1578842275
53.5347876,-2.2832853,shopping,North Manchester Joinery,1579041474
45.5102551,-122.655978,shopping,Free Geek,1579137756
40.8311253,14.2493561,food,Pizzeria Pizze d'Autore del Maestro Pizzaziolo Gigi Sorbillo,1579682472
40.826359,14.2027183,shopping,Cartolibreria Giorgio Lieto di Lieto Gianfranco,1579682704
41.1671736,-8.6342946,shopping,Mr. Boss Barber Shop and Miss Boss Hair Saloon,1580559719
41.1672131,-8.6345468,food,Churrasqueira Central de Francos,1580598297
-12.068292,-77.0137128,shopping,Polos Deportivos,1580769746
32.9281979,35.3194764,grocery,?,1580996540
43.7198112,10.3973581,atm,?,1581007011
27.7682535,-15.5485549,cafe,heladería cacao,1581517071
45.453154,9.20102,atm,CryptoLocalATM c/o Empire Coffee,1581867980
59.4526316,24.8752353,shopping,GIG,1583184565
41.8582012,-87.660269,atm,Blue1647,1583429759
-23.7270691,-46.6991679,attraction,Praça Vila Rubi,1578864423
55.1691041,-118.793835,lodging,Sandman Hotel Grande Prairie,1580155546
45.37246099,14.34856296,food,Oštarija Fortica,1583752470
46.05322392,14.50686157,default,Gold store,1583752620
46.04970199,14.516716,cafe,Fajn food,1583752714
27.752489,-82.6469457,atm,Athena Bitcoin ATM,1583429829
46.04967965,14.51678574,food,Fajn Fuud Pizza,1583752779
53.5352837,-2.2834188,default,?,1579041474
53.5348199,-2.2833236,shopping,North Manchester Joinery,1578094446
43.630993,-116.203639,food,Hyde Park Sno Shack,1580546683
59.2759625,28.9081195,default,Малиновка-1,1583429934
46.5014684,11.2526083,sports,Golf Club Eppan,1583429934
11.5035563,-85.5513976,lodging,"Xalli, Ometepe Beach Hotel - Nicaragua",1583429935
40.4270979,-3.6873459,lodging,Petit Palace Embassy Serrano,1583429935
4.8073801,-75.7229541,default,Metroparque del Café,1583429936
-23.8323364,-46.710286,attraction,EMEF Ulysses da Sylveira Guimaraes,1583429936
-23.7236365,-46.7060656,attraction,Ambulatório de Especialidades Jardim Cliper,1583429937
-23.7121594,-46.6956663,attraction,48º DP - Cidade Dutra - Polícia Civil - Distrito Policial,1583429938
-23.7417606,-46.7090449,attraction,50º Batalhão de Polícia Militar Metropolitano PMESP,1583429938
39.687854,16.2874129,nightlife,bar hotel san francesco,1578383527
37.4731917,-77.4440229,default,Superior Outlet And Pawn Shop,1578638871
53.5347483,-2.2833128,default,North Manchester Joinery,1579041474
44.0391376,-123.0690895,grocery,Doctors Office w/ Candy,1579041527
36.1449388,-115.195488,lodging,"The Clyde, a Bed & Bay Residence Inn",1579232681
36.1392643,-115.2322698,lodging,"The Escondido, a Bed & Bay Residence Inn",1579232863
36.1448939,-115.1953625,lodging,"The Bonnie, a Bed & Bay Residence Inn",1579742691
-34.4764094,19.89385,default,Xtreme Pro Paintball Guns,1579869279
50.29748202,15.5905652,default,test vvenue,1583370234
48.41456165,18.04832697,default,tets,1583428394
46.4078349,11.2384105,default,Cosmo Life S.r.l.,1582635343
51.5880451,4.5286544,food,Brasserie Tivoli,1582271816
46.04969455,14.51664627,food,Fajn Fuud Burger,1583752846
46.24183921,14.35679734,default,Gold store ,1583752906
38.8211373,-90.5170204,atm,GeneralBytes two-way bitcoin kiosk,1583429067
46.56122097,15.62659264,transport,TaxiPlus,1583752994
46.06493105,14.54509377,shopping,Gold store ,1583749458
47.49808972,19.05541599,nightlife,Brewdog Brewery,1583770184
18.7857246,98.9818331,nightlife,Boo Bar in Old City,1579339311
-29.36025925,-50.82895517,lodging,AIRBNB,1583437839
-29.36186757,-50.82883716,shopping,MAKEGRAMADO,1583436553
-29.35900624,-50.82912683,lodging,Hospedagem - PET,1583438209
-29.35801504,-50.82916975,transport,TRANSFER - MOTORISTA,1583438443
-29.36376573,-50.80989003,default,Consultoria - criptomoedas,1583438737
-29.36212003,-50.82190096,sports,Personal - Crossfit,1583439195
39.4570256,-0.356862545,lodging,Apt. for rent,1583440791
19.14958212,-96.16545975,atm,Designinnweb,1583520702
46.04794839,14.51699495,cafe,Maestral caffe,1583697744
38.9840487,-78.18276644,atm,Bitcoin ATM ,1583550727
-41.11259812,173.0099487,transport,Abel Tasman Tours,1583565900
46.0731227,14.48730826,shopping,Zlato center,1583696346
