,Lat,Long,Venue_Type,Venue_Name,Created_On,latlong,Country
59,42.93143979,-72.27610229999999,food,EuPHOria,1579498348,"(42.93143979, -72.27610229999999)",US
60,48.27496039,13.88853192,default,Zwei Fach,1579617131,"(48.27496039, 13.88853192)",AT
61,48.29008918,14.29793358,shopping,Goldunion,1579617271,"(48.29008918, 14.29793358)",AT
62,48.04147626,14.42591786,sports,MANDU Steyr,1579618093,"(48.04147626, 14.42591786)",AT
63,47.98530447,14.12093997,default,Elektro Staudinger,1579618778,"(47.98530447, 14.12093997)",AT
64,48.30161661,14.29195225,default,Xu-Wok & More,1579619053,"(48.30161661, 14.29195225)",AT
65,48.29859761,14.29002106,default,Textilreinigung Pilz,1579619395,"(48.29859761, 14.29002106)",AT
66,-33.41958135,-70.60901821,shopping,SMARTCTL,1579642171,"(-33.41958135, -70.60901821)",CL
67,40.08480277,-75.25939465,default,"Team Economics, LLC",1579714154,"(40.08480277, -75.25939465)",US
68,40.08715858,-82.98439801,atm,Bitcoin ATM,1579209809,"(40.08715858, -82.98439801)",US
69,45.81326216,15.99782109,food,Jellyfish in Space,1579775539,"(45.81326216, 15.99782109)",HR
70,42.93109023,-72.28055477,default,Pure Bliss Cleaning Service,1579662570,"(42.93109023, -72.28055477)",US
71,41.36400671,-82.10383415,atm,Bitcoin ATM,1579725435,"(41.36400671, -82.10383415)",US
72,37.9329183,-77.47756541,atm,Bitcoin ATM,1579993187,"(37.9329183, -77.47756541)",US
73,36.80708566,-77.46315122,atm,Bitcoin ATM,1579993601,"(36.80708566, -77.46315122)",US
74,55.35779476,86.16631866,default,"Green Gorillaz | Fitness club ""Leningradsky""",1579860541,"(55.35779476, 86.16631866)",RU
75,55.40193159,86.01482749,default,"Green Gorillaz | Fitness club ""Kirovsky""",1579860669,"(55.40193159, 86.01482749)",RU
76,-19.90799913,-43.94433618,default,RF Engenharia,1579812211,"(-19.90799913, -43.94433618)",BR
77,55.74825966,37.53720939,food,M-CITY resto grill bar,1579782380,"(55.74825966, 37.53720939)",RU
78,55.79410425,37.59196401,shopping,"ZEONDIGITAL | Shop ""Sound Arena""",1579855805,"(55.79410425, 37.59196401)",RU
79,55.76356428,37.654411200000006,cafe,Tsifra | Cafeteria,1579856026,"(55.76356428, 37.654411200000006)",RU
80,55.76150892,37.55155921,shopping,DomDomych.ru | Retail sale of goods for the interior of your home,1579856199,"(55.76150892, 37.55155921)",RU
81,55.69913869,37.35892296,shopping,Gift LAB SKOLKOVO | Souvenir shop,1579856845,"(55.69913869, 37.35892296)",RU
82,55.74649638,37.68264413,default,Flagman | Travel agency,1579858441,"(55.74649638, 37.68264413)",RU
83,55.77731219,37.50428796,shopping,AGENTORY | Real estate agency,1579858589,"(55.77731219, 37.50428796)",RU
84,55.73296414,37.61937082,default,APARTMENT HOTEL | Management Company,1579859581,"(55.73296414, 37.61937082)",RU
85,55.83538547,37.93593049,default,ZOOCLINIC & ZOOMARKET PETGROUP | Veterinary services and pet products,1579859899,"(55.83538547, 37.93593049)",RU
86,55.32953501,86.11461639,default,"Green Gorillaz | Fitness club ""FPK""",1579860154,"(55.32953501, 86.11461639)",RU
87,55.40347893,86.11931562,default,"Green Gorillaz | Fitness club ""Raduga""",1579860421,"(55.40347893, 86.11931562)",RU
88,42.93110987,-72.28070498,attraction,Free Talk Live & LRN.FM,1579995868,"(42.93110987, -72.28070498)",US
89,38.75707015,-9.303917885,shopping,Zumub,1580115799,"(38.75707015, -9.303917885)",PT
90,44.55128897,38.05438757,shopping,"Roberto Bravo at the ""Grand Hotel Kempinski Gelendzhik""",1580123940,"(44.55128897, 38.05438757)",RU
91,43.68385663,40.25694251,shopping,"Roberto Bravo at the ""Sochi Hotel Marriott Krasnaya Polyana"" | Jewelry",1580124190,"(43.68385663, 40.25694251)",RU
92,43.58460705,39.71697628,shopping,"Roberto Bravo in the TG ""Grand Marina"" | Jewelry",1580124295,"(43.58460705, 39.71697628)",RU
93,43.60631284,39.73237753,shopping,"Roberto Bravo in ""MoreMall"" shopping center | Jewelry",1580124388,"(43.60631284, 39.73237753)",RU
94,43.57068667,39.73215759,shopping,"Roberto Bravo at the ""Grand Hotel Zhemchuzhina"" | Jewelry",1580125167,"(43.57068667, 39.73215759)",RU
95,39.17993194,-77.26604104,atm,Bitcoin ATM,1580166364,"(39.17993194, -77.26604104)",US
96,50.1420875,14.09891903,shopping,Žaluzie a sítě do oken,1580398421,"(50.1420875, 14.09891903)",CZ
97,-32.90887456,-68.82547259,grocery,El Mercadito,1580694288,"(-32.90887456, -68.82547259)",AR
98,-32.86481869,-68.94600078,lodging,Tangram Cabañas,1580694466,"(-32.86481869, -68.94600078)",AR
99,-32.85392235,-68.82724285,default,El Taller de Pianos,1580694583,"(-32.85392235, -68.82724285)",AR
100,45.44171331,9.287272096,food,Bottega Verace,1580713619,"(45.44171331, 9.287272096)",IT
101,50.16727782,19.39807892,default,"BlueSun - Zasilanie Awaryjne, Usługi Elektryczne",1580816106,"(50.16727782, 19.39807892)",PL
102,41.44799402,-82.16567516,atm,Bitcoin ATM,1580396903,"(41.44799402, -82.16567516)",US
103,44.48961357,11.31511331,shopping,"Copisteria ""Il Copione""",1580825991,"(44.48961357, 11.31511331)",IT
104,44.50226378,11.33241892,atm,Bitshop,1580826702,"(44.50226378, 11.33241892)",IT
105,27.33634257,-82.53165185,atm,Bitcoin Center,1580829907,"(27.33634257, -82.53165185)",US
106,49.2073364,16.48464203,default,Petr Krzok,1581067101,"(49.2073364, 16.48464203)",CZ
107,39.12456716,-84.34716403,atm,Bitcoin ATM,1579209680,"(39.12456716, -84.34716403)",US
108,-32.89249559,-68.85440638,food,The Sixth Dagger ,1581105251,"(-32.89249559, -68.85440638)",AR
109,-32.88538506,-68.84145856,food,Parrilla del Mercado,1581111683,"(-32.88538506, -68.84145856)",AR
110,44.43997729,8.96784246,shopping,Centroinfissi EGI,1581188370,"(44.43997729, 8.96784246)",IT
111,48.189361700000006,16.36446297,default,Psychologische Praxis | Mag. Daniel Prattinger,1581215436,"(48.189361700000006, 16.36446297)",AT
112,35.96244609,-115.09689329999999,default,Drone2Address,1581348554,"(35.96244609, -115.09689329999999)",US
113,36.1212369,-115.2788544,default,Drone2Address,1581348578,"(36.1212369, -115.2788544)",US
114,36.25147202,-115.2088165,default,Drone2Address,1581348601,"(36.25147202, -115.2088165)",US
115,35.990464200000005,-115.18545990000001,default,Heart of Gold Child Care,1581348671,"(35.990464200000005, -115.18545990000001)",US
116,36.02628197,-115.088675,default,Colocation Vegas,1581348760,"(36.02628197, -115.088675)",US
117,36.02688935,-115.0890827,default,702Ring,1581348797,"(36.02688935, -115.0890827)",US
118,25.75815531,-80.21289825,default,Ring305,1581348882,"(25.75815531, -80.21289825)",US
119,36.06589081,-115.20203590000001,default,702Ring,1581349650,"(36.06589081, -115.20203590000001)",US
120,35.98897976,-115.18909690000001,default,Drone2Address,1581348507,"(35.98897976, -115.18909690000001)",US
121,-34.55566396,-58.41533661,atm,BlockLabs P2P BTC to ARS,1581386980,"(-34.55566396, -58.41533661)",AR
122,-34.81260535,-58.53906155,atm,BlockLabs P2P BTC to ARS,1581387252,"(-34.81260535, -58.53906155)",AR
123,-34.66583773,-58.64275575,atm,BlockLabs P2P BTC to ARS,1581387449,"(-34.66583773, -58.64275575)",AR
124,-17.78885791,-63.19588846,shopping,David A. Justiniano,1581468722,"(-17.78885791, -63.19588846)",BO
125,10.47662911,-84.96414185,lodging,Hotel Cielo Azul Resort,1581473830,"(10.47662911, -84.96414185)",CR
126,48.15399776,14.01073873,default,PT – Built By Experience,1581497974,"(48.15399776, 14.01073873)",AT
127,44.3081881,15.080054999999998,lodging,Aparmán Verne,1581530750,"(44.3081881, 15.080054999999998)",HR
128,44.30131636,15.09296179,lodging,Apartman BARBA,1581531031,"(44.30131636, 15.09296179)",HR
129,48.85487515,2.304232121,default,Nicolas Mildner,1581543077,"(48.85487515, 2.304232121)",FR
130,46.05480983,14.50513422,shopping,Zlatarstvo Kodre,1581675958,"(46.05480983, 14.50513422)",SI
131,37.09945220000001,27.30793476,shopping,DEEP PERDE,1581676634,"(37.09945220000001, 27.30793476)",TR
132,4.829751107,-75.67335069,default,DogeLino,1581685237,"(4.829751107, -75.67335069)",CO
133,20.58811681,-100.3750956,shopping,Fama Sport,1581727325,"(20.58811681, -100.3750956)",MX
134,20.01645495,-75.83085537,transport,Mr. Eridanys,1581869000,"(20.01645495, -75.83085537)",CU
135,20.02072353,-75.82510769,default,Fernando Lainati Mora,1581893572,"(20.02072353, -75.82510769)",CU
136,-37.14828528,-56.88095212,lodging,Cabañas El Jardín,1581946699,"(-37.14828528, -56.88095212)",AR
137,47.16717476,8.514876366000001,food,Löwen Brasserie,1581948948,"(47.16717476, 8.514876366000001)",CH
138,47.16716747,8.514989018,lodging,Hotel Löwen,1581949253,"(47.16716747, 8.514989018)",CH
139,-16.68383258,-49.26763594,default,Nexus Class,1581964597,"(-16.68383258, -49.26763594)",BR
140,46.18043955,8.998253345,shopping,Mediasat Sagl,1581971677,"(46.18043955, 8.998253345)",CH
141,50.0811192,14.42445832,default,Flower shop KvetinySandra,1581973138,"(50.0811192, 14.42445832)",CZ
142,44.29238189,15.11988044,lodging,Apartments Ivuša,1579051789,"(44.29238189, 15.11988044)",HR
143,46.02337348,14.41772103,lodging,Hotel Pok,1582017266,"(46.02337348, 14.41772103)",SI
144,46.02334368,14.4178766,food,Restavracija Kevder,1582017473,"(46.02334368, 14.4178766)",SI
145,46.04844357,14.49967325,cafe,Living Room Lounge,1582017696,"(46.04844357, 14.49967325)",SI
146,46.05247562,14.50503767,default,Elegance Showroom,1582018250,"(46.05247562, 14.50503767)",SI
147,46.05224108,14.50844407,shopping,Saloon Concept,1582018744,"(46.05224108, 14.50844407)",SI
148,46.08213918,14.50648069,default,Nova ključavnica,1582019053,"(46.08213918, 14.50648069)",SI
149,46.07323063,14.50387359,default,The Coffee,1582020273,"(46.07323063, 14.50387359)",SI
150,46.03609987,14.47817266,default,Biljard klub Direkt,1582031814,"(46.03609987, 14.47817266)",SI
151,44.29031989,15.1202774,lodging,Apartman VLADEK,1581982211,"(44.29031989, 15.1202774)",HR
152,37.875072100000004,-122.260379,default,Metz Construction,1581809469,"(37.875072100000004, -122.260379)",US
153,46.20869414,6.131942867999999,atm,Le Kiosque de l'ile verte,1582136407,"(46.20869414, 6.131942867999999)",CH
154,46.21063939,6.14566505,atm,La Miroiterie Café ,1582136599,"(46.21063939, 6.14566505)",CH
155,-29.36333093,-50.81353784,atm,Bitcoin - câmbio - exchange,1582136948,"(-29.36333093, -50.81353784)",BR
156,33.49226937,-88.79059196,default,Redeemer Church,1582144045,"(33.49226937, -88.79059196)",US
157,-37.87265549,145.0251608,default,Healing Delight,1582268558,"(-37.87265549, 145.0251608)",AU
158,46.08708404,14.47852671,cafe,Fani bar,1582290849,"(46.08708404, 14.47852671)",SI
159,45.59446175,10.15372753,cafe,Caffè Danesi,1582291353,"(45.59446175, 10.15372753)",IT
160,46.40574408,14.15445685,cafe,"Zavrh bar, V objemu narave",1582292257,"(46.40574408, 14.15445685)",SI
161,46.04797818,14.54445004,food,Sarajevska čevabdžinica Deset v pol,1582293600,"(46.04797818, 14.54445004)",SI
162,46.06177465,14.57323015,cafe,Kava bar Petrol,1582293745,"(46.06177465, 14.57323015)",SI
163,46.02124654,14.52299774,food,Gostilna in pizzeria KUBUS,1582294011,"(46.02124654, 14.52299774)",SI
164,-5.865909275,-35.20172417,default,Leal e Lima Sociedade de Advogados,1582321495,"(-5.865909275, -35.20172417)",BR
165,46.05667118,14.50586915,food,Žito trgovina,1582551322,"(46.05667118, 14.50586915)",SI
166,46.06510599,14.511319400000001,food,Žito trgovina,1582551483,"(46.06510599, 14.511319400000001)",SI
167,46.05499225,14.50881422,food,Žito trgovina,1582551780,"(46.05499225, 14.50881422)",SI
168,46.0580597,14.51148033,food,Žito trgovina,1582552020,"(46.0580597, 14.51148033)",SI
169,46.05061414,14.50929165,food,Žito Kruharna,1582552926,"(46.05061414, 14.50929165)",SI
170,46.05397221,14.51277852,food,Žito trgovina,1582553127,"(46.05397221, 14.51277852)",SI
171,46.05516349,14.50848162,food,Žito trgovina,1582553289,"(46.05516349, 14.50848162)",SI
172,46.05115026,14.50719416,food,Žito trgovina,1582553552,"(46.05115026, 14.50719416)",SI
173,46.04146963,14.47512031,food,Žito trgovina,1582556263,"(46.04146963, 14.47512031)",SI
174,46.07379257,14.47453022,food,Žito trgovina,1582559271,"(46.07379257, 14.47453022)",SI
175,46.05772839,14.50967789,food,Žito trgovina,1582559393,"(46.05772839, 14.50967789)",SI
176,46.06440251,14.54421401,food,Žito trgovina,1582559522,"(46.06440251, 14.54421401)",SI
177,42.34030291,-83.1276387,grocery,Livernois-Mcgraw Market,1582563066,"(42.34030291, -83.1276387)",US
178,4.697654255,-74.03051376,lodging,Hostal Casa Andina Usaquen,1582593045,"(4.697654255, -74.03051376)",CO
179,50.13466432,14.17648315,default,EDGAR GONZALEZ ASESOR,1582578076,"(50.13466432, 14.17648315)",CZ
180,5.084323847,-73.78861606,lodging,Hostal Casa Andina Suesca,1582595839,"(5.084323847, -73.78861606)",CO
181,50.82962509,4.048043488999999,default,Veronove Tegels,1582722893,"(50.82962509, 4.048043488999999)",BE
182,3.3689714669999997,-76.51484013,shopping,ReGia Makeup ,1582771425,"(3.3689714669999997, -76.51484013)",CO
183,50.10255159,14.46798563,transport,Iva Testuje,1582797374,"(50.10255159, 14.46798563)",CZ
184,51.39698332,12.39884377,attraction,CCC,1582807921,"(51.39698332, 12.39884377)",DE
185,41.70423867,-83.52696061,atm,Bitcoin ATM,1582568749,"(41.70423867, -83.52696061)",US
186,47.43265611,8.556981683,shopping,COIN.HOST,1582814361,"(47.43265611, 8.556981683)",CH
187,4.807824043,-75.69157362,atm,BancaBIT,1582831335,"(4.807824043, -75.69157362)",CO
188,-17.74582554,-63.191862699999994,shopping,Widen Montero,1582831372,"(-17.74582554, -63.191862699999994)",BO
189,50.41489999,30.52226186,atm,Colipay,1582847874,"(50.41489999, 30.52226186)",UA
190,45.55704409,18.70507658,cafe,Campus Caffe,1582889979,"(45.55704409, 18.70507658)",HR
191,4.698575566000001,-74.03131652,default,Crisol (Elizabeth Gómez y David Palacio),1582899763,"(4.698575566000001, -74.03131652)",CO
192,39.92924588,-77.63810098,atm,Bitcoin ATM,1582916508,"(39.92924588, -77.63810098)",US
193,4.6166730419999995,-74.19792652,shopping,BITCOIN-TRAXALT,1582914988,"(4.6166730419999995, -74.19792652)",CO
194,6.229235122,-75.57080984,atm,Genesis Block,1582941084,"(6.229235122, -75.57080984)",CO
195,45.81036062,15.97420156,attraction,Museum of Hangovers,1582997640,"(45.81036062, 15.97420156)",HR
196,33.89663713,-117.99453740000001,default,Tandy Consulting Inc,1583037774,"(33.89663713, -117.99453740000001)",US
197,49.18825641,-123.9502523,default,Ripsen Marine,1583054136,"(49.18825641, -123.9502523)",CA
198,50.08048052,14.44864154,default,PHP Programming Mentoring,1583152192,"(50.08048052, 14.44864154)",CZ
199,41.96819905,-87.80741221,default,American Speedy Printing,1583157255,"(41.96819905, -87.80741221)",US
200,42.35202676,-3.660678864,default,pepeton,1583169950,"(42.35202676, -3.660678864)",ES
201,-27.28609007,-48.89581203,food,CoguVale,1583173969,"(-27.28609007, -48.89581203)",BR
202,46.42374793,15.88532925,default,Tomas Sport Ptuj,1583228669,"(46.42374793, 15.88532925)",SI
203,46.40301414,15.5337131,lodging,Panorama Glamping Visole,1583230263,"(46.40301414, 15.5337131)",SI
204,46.1365008,14.4133383,cafe,Parkplac Drive in,1583231323,"(46.1365008, 14.4133383)",SI
205,46.36098241,15.10720968,default,ILON center masaž in terapij,1583231844,"(46.36098241, 15.10720968)",SI
206,46.35940161,15.10875463,default,Šola vožnje RELAX Velenje,1583232096,"(46.35940161, 15.10875463)",SI
207,46.33620636,14.95862067,default,Šola vožnje RELAX Mozirje,1583232767,"(46.33620636, 14.95862067)",SI
208,46.09963209,14.53668237,default,MGS PLUS,1583239507,"(46.09963209, 14.53668237)",SI
209,46.06389258,14.54567313,default,"Kalček Ljubljana, BTC",1583239905,"(46.06389258, 14.54567313)",SI
210,46.22524876,14.61165011,cafe,Kavarna Veronika,1583240415,"(46.22524876, 14.61165011)",SI
211,46.22412054,14.61077034,food,Pizzeria Napoli,1583240587,"(46.22412054, 14.61077034)",SI
212,45.94318988,13.642069099999999,default,AcuModerna,1583240847,"(45.94318988, 13.642069099999999)",SI
213,45.53972177,13.66428852,default,Navtik. AL,1583241149,"(45.53972177, 13.66428852)",SI
214,46.05040565,14.52680111,default,List biro oprema d.o.o.,1583242448,"(46.05040565, 14.52680111)",SI
215,46.11016534,14.60952044,default,Lazy Koala,1583243214,"(46.11016534, 14.60952044)",SI
216,46.02030038,14.53950405,default,Eset Online store,1583243682,"(46.02030038, 14.53950405)",SI
217,39.68570666,-84.22146499,atm,Bitcoin ATM,1583276295,"(39.68570666, -84.22146499)",US
218,10.382319099999998,-75.47966838,food,Ay Jue’ Pollo,1583291064,"(10.382319099999998, -75.47966838)",CO
219,55.762682999999996,37.59230196,food,800°С Contemporary Steak | Meat restaurant,1583315944,"(55.762682999999996, 37.59230196)",RU
220,55.75021609,37.55966485,food,Village restaurant Arkadiya Novikovа | Cheese factory at the Badayevsky plant,1583315761,"(55.75021609, 37.55966485)",RU
221,55.74706704,37.53650665,cafe,FORNETTO | Cafe pizzeria,1583316153,"(55.74706704, 37.53650665)",RU
222,55.66672112,37.62042224,cafe,Coffee Industry | Catering company,1583316398,"(55.66672112, 37.62042224)",RU
223,37.18653586,126.65144209999998,cafe,Romance Yacht,1583379466,"(37.18653586, 126.65144209999998)",KR
224,47.17262319,8.513261676,food,Kurioz Bar & Kitchen,1583417098,"(47.17262319, 8.513261676)",CH
225,50.080515500000004,14.449227599999999,food,U Sadu,1578930109,"(50.080515500000004, 14.449227599999999)",CZ
226,46.0931109,11.1121903,default,La selleria on line,1582221225,"(46.0931109, 11.1121903)",IT
227,43.7198484,10.397295100000001,atm,?,1580855888,"(43.7198484, 10.397295100000001)",IT
228,32.0641293,34.7735345,atm,רובוקוין,1583428892,"(32.0641293, 34.7735345)",IL
229,50.0884875,14.396167499999999,cafe,U zelených kamen,1578929305,"(50.0884875, 14.396167499999999)",CZ
230,46.0823409,14.5137728,atm,Bitnik 2-way bitcoin ATM,1583429046,"(46.0823409, 14.5137728)",SI
231,45.5399021,13.7351245,atm,Bitnik 1-way bitcoin ATM,1583429085,"(45.5399021, 13.7351245)",SI
232,41.2126346,9.3880341,lodging,Ma & Ma Grand Hotel Resort,1582986673,"(41.2126346, 9.3880341)",IT
233,61.497554799999996,23.7771771,atm,Bittimaatti Two-Way,1583429144,"(61.497554799999996, 23.7771771)",FI
234,33.7445484,-84.3686163,atm,Athena Bitcoin ATM,1583429145,"(33.7445484, -84.3686163)",US
235,33.7727707,-84.37853879999999,atm,Athena Bitcoin ATM,1583429145,"(33.7727707, -84.37853879999999)",US
236,43.4677367,-80.5233263,atm,Bitcoin ATM,1583429155,"(43.4677367, -80.5233263)",CA
237,23.730424499999998,90.41206020000001,default,বাকাউল মানি এক্সচেঞ্জ,1583429156,"(23.730424499999998, 90.41206020000001)",BD
238,47.1390768,7.2453205,default,Zahnarztpraxis Dr. Matthias Nötzel ,1582559517,"(47.1390768, 7.2453205)",CH
239,44.079525200000006,10.0996256,default,Le profumerie Braccini,1580456875,"(44.079525200000006, 10.0996256)",IT
240,48.204798,16.3703636,atm,?,1583429226,"(48.204798, 16.3703636)",AT
241,48.4269856,-123.3675538,atm,Bitcoin ATM,1583429232,"(48.4269856, -123.3675538)",CA
242,48.4242489,-123.3631831,atm,Bitcoin ATM,1583429233,"(48.4242489, -123.3631831)",CA
243,45.8836233,8.5408137,shopping,Gioielleri Paulon,1578338791,"(45.8836233, 8.5408137)",IT
244,49.182761299999996,16.627017600000002,atm,?,1583429262,"(49.182761299999996, 16.627017600000002)",CZ
245,50.0770759,8.2370224,shopping,Meyni Textil Stickerei Schneiderei Textildruck,1582223184,"(50.0770759, 8.2370224)",DE
246,45.4274276,-75.6902342,atm,?,1583429286,"(45.4274276, -75.6902342)",CA
247,45.4269373,-75.68969240000001,atm,?,1583429287,"(45.4269373, -75.68969240000001)",CA
248,47.2605377,11.382715300000001,atm,?,1583429294,"(47.2605377, 11.382715300000001)",AT
249,47.27016210000001,11.391088400000001,atm,?,1583429295,"(47.27016210000001, 11.391088400000001)",AT
250,47.2557425,11.326362,atm,?,1583429295,"(47.2557425, 11.326362)",AT
251,48.7196925,21.261181699999998,atm,Bitcoin ATM,1583429315,"(48.7196925, 21.261181699999998)",SK
252,62.2434448,25.748279,atm,Bittimaatti Two-Way,1583429370,"(62.2434448, 25.748279)",FI
253,62.86433960000001,27.613253000000004,atm,Bittimaatti Two-Way,1583429371,"(62.86433960000001, 27.613253000000004)",FI
254,31.7670985,35.2255151,atm,כספומט ביטקוין,1583429386,"(31.7670985, 35.2255151)",IL
255,43.719849200000006,10.3973451,cafe,Pasticceria DolcePisa,1580853413,"(43.719849200000006, 10.3973451)",IT
256,40.51105870000001,-88.9819592,atm,Cryptocurrency Atm,1583429469,"(40.51105870000001, -88.9819592)",US
257,40.7883618,-73.94724129999999,atm,Bitcoin ATM,1583429470,"(40.7883618, -73.94724129999999)",US
